g-force,time,trot,canter
3658,621580,,
3716,621604,,
3717,621630,,
3773,621656,,
3803,621681,,
3817,621707,,
3797,621732,,
3731,621757,,
3703,621783,,
3641,621833,,
3729,621967,,
3755,621993,,
3702,622020,,
3700,622046,,
3746,622071,,
3742,622096,,
3740,622121,,
3673,622151,,
3662,622177,,
3676,622202,,
3668,622228,,
3649,622254,,
3679,622278,,
3725,622358,,
3686,622384,,
3666,622409,,
3682,622435,,
3698,622460,,
3685,622486,,
3726,622512,,
3687,622536,,
3694,622562,,
3652,622587,,
3739,622613,,
3727,622639,,
3681,622664,,
3682,622693,,
3714,622718,,
3682,622744,,
3714,622770,,
3677,622794,,
3713,622906,,
3671,622982,,
3749,623009,,
3671,623034,,
3717,623059,,
3696,623085,,
3744,623111,,
3706,623136,,
3707,623161,,
3673,623186,,
3706,623212,,
3703,623238,,
3678,623263,,
3690,623292,,
3733,623318,,
3723,623343,,
3699,623368,,
3689,623393,,
3668,623419,,
3648,623444,,
3660,623470,,
3652,623495,,
3660,623520,,
3673,623546,,
3717,623571,,
3696,623597,,
3673,623622,,
3697,623647,,
3686,623673,,
3697,623698,,
3684,623724,,
3674,623761,,
3678,623787,,
3719,623837,,
3693,623975,,
3696,624029,,
3679,624056,,
3752,624081,,
3742,624107,,
3733,624133,,
3724,624157,,
3690,624183,,
3693,624208,,
3666,624234,,
3666,624260,,
3665,624284,,
3714,624310,,
3692,624335,,
3695,624361,,
3673,624391,,
3667,624415,,
3725,624441,,
3774,624466,,
3755,624492,,
3680,624518,,
3692,624542,,
3731,624568,,
3691,624593,,
3651,624619,,
3702,624645,,
3719,624669,,
3682,624695,,
3723,624720,,
3707,624746,,
3720,624772,,
3690,624796,,
3710,624874,,
3692,624982,,
3710,625012,,
3687,625038,,
3702,625063,,
3699,625089,,
3677,625115,,
3701,625139,,
3698,625165,,
3678,625190,,
3652,625216,,
3722,625242,,
3716,625266,,
3721,625292,,
3682,625317,,
3716,625398,,
3686,625424,,
3722,625449,,
3728,625475,,
3686,625501,,
3712,625529,,
3740,625555,,
3701,625581,,
3656,625605,,
3633,625631,,
3679,625656,,
3706,625682,,
3693,625708,,
3719,625733,,
3690,625758,,
3693,625783,,
3677,625809,,
3698,625835,,
3707,625883,,
3635,626014,,
3654,626040,,
3687,626067,,
3684,626092,,
3697,626121,,
3716,626147,,
3680,626172,,
