gforce,trot,canter
9192,0,1
8765,0,1
9368,0,1
10564,0,1
10602,0,1
4992,0,1
4931,0,1
5297,0,1
4308,0,1
4597,0,1
2395,0,1
674,0,1
-150,0,1
1715,0,1
5095,0,1
8667,0,1
11016,0,1
5139,0,1
8454,0,1
10853,0,1
5300,0,1
3450,0,1
5675,0,1
4714,0,1
5710,0,1
3517,0,1
675,0,1
2133,0,1
2312,0,1
2702,0,1
989,0,1
3039,0,1
4507,0,1
9381,0,1
10673,0,1
3492,0,1
9030,0,1
9743,0,1
5181,0,1
4458,0,1
5119,0,1
4383,0,1
5589,0,1
2786,0,1
3033,0,1
8566,0,1
8196,0,1
9193,0,1
3739,0,1
5443,0,1
5166,0,1
5000,0,1
5308,0,1
3448,0,1
1472,0,1
483,0,1
-227,0,1
2014,0,1
2411,0,1
1605,0,1
1767,0,1
3168,0,1
4722,0,1
7742,0,1
12245,0,1
3996,0,1
10537,0,1
6589,0,1
2237,0,1
4993,0,1
6213,0,1
1713,0,1
2581,0,1
2422,0,1
1063,0,1
3336,0,1
4741,0,1
10156,0,1
11706,0,1
5648,0,1
9264,0,1
7384,0,1
3922,0,1
6287,0,1
3522,0,1
4584,0,1
3975,0,1
1066,0,1
-1027,0,1
1966,0,1
1664,0,1
2911,0,1
1363,0,1
2398,0,1
4125,0,1
8140,0,1
6983,0,1
13059,0,1
9128,0,1
7870,0,1
7118,0,1
6115,0,1
446,0,1
-466,0,1
1231,0,1
1498,0,1
2194,0,1
2019,0,1
2089,0,1
3074,0,1
8823,0,1
5718,0,1
15862,0,1
6887,0,1
9818,0,1
6850,0,1
3492,0,1
4399,0,1
5000,0,1
5082,0,1
4012,0,1
2462,0,1
0,0,1
-112,0,1
2059,0,1
2940,0,1
7724,0,1
13795,0,1
6865,0,1
4979,0,1
2920,0,1
878,0,1
-8,0,1
863,0,1
1965,0,1
3359,0,1
2406,0,1
1764,0,1
2478,0,1
3679,0,1
8456,0,1
9056,0,1
12641,0,1
11903,0,1
6637,0,1
6715,0,1
4930,0,1
4145,0,1
4661,0,1
3866,0,1
1668,0,1
-597,0,1
153,0,1
1478,0,1
2719,0,1
3075,0,1
1837,0,1
1523,0,1
7906,0,1
6030,0,1
5746,0,1
-221,0,1
-448,0,1
1192,0,1
2044,0,1
2613,0,1
1636,0,1
1972,0,1
7501,0,1
7548,0,1
10441,0,1
7399,0,1
9728,0,1
8156,0,1
7904,0,1
4569,0,1
5257,0,1
4789,0,1
4178,0,1
2495,0,1
654,0,1
-1403,0,1
1401,0,1
1727,0,1
2951,0,1
2453,0,1
1923,0,1
14627,0,1
8240,0,1
3659,0,1
7317,0,1
5066,0,1
4620,0,1
3366,0,1
1906,0,1
78,0,1
-382,0,1
882,0,1
1740,0,1
3579,0,1
1834,0,1
1752,0,1
4576,0,1
7726,0,1
5987,0,1
15436,0,1
5229,0,1
9810,0,1
6478,0,1
4228,0,1
6490,0,1
4964,0,1
3525,0,1
3036,0,1
1064,0,1
369,0,1
351,0,1
1721,0,1
2890,0,1
13609,0,1
708,0,1
9684,0,1
8330,0,1
3741,0,1
5715,0,1
4597,0,1
3097,0,1
1936,0,1
739,0,1
-406,0,1
1203,0,1
1853,0,1
3075,0,1
2136,0,1
1327,0,1
4865,0,1
7642,0,1
8980,0,1
12381,0,1
9934,0,1
10071,0,1
5729,0,1
3831,0,1
6044,0,1
5097,0,1
4400,0,1
3310,0,1
1150,0,1
1576,0,1
4121,0,1
7806,0,1
8746,0,1
12236,0,1
7772,0,1
9510,0,1
5370,0,1
4489,0,1
6127,0,1
5530,0,1
4133,0,1
2888,0,1
133,0,1
-92,0,1
1087,0,1
1188,0,1
3114,0,1
2517,0,1
1944,0,1
2471,0,1
6428,0,1
7252,0,1
13294,0,1
5460,0,1
8352,0,1
7952,0,1
4130,0,1
6008,0,1
5240,0,1
5704,0,1
3254,0,1
2954,0,1
1398,0,1
2191,0,1
8960,0,1
8975,0,1
8570,0,1
8924,0,1
9559,0,1
5262,0,1
4166,0,1
6087,0,1
5113,0,1
4783,0,1
3253,0,1
1226,0,1
483,0,1
18,0,1
1361,0,1
2814,0,1
2716,0,1
1192,0,1
1714,0,1
6914,0,1
6905,0,1
12131,0,1
6621,0,1
4466,0,1
601,0,1
2180,0,1
3381,0,1
2002,0,1
1149,0,1
2439,0,1
2848,0,1
8855,0,1
9098,0,1
9484,0,1
9724,0,1
9146,0,1
7376,0,1
4816,0,1
5308,0,1
4549,0,1
4405,0,1
3308,0,1
773,0,1
-210,0,1
1577,0,1
1612,0,1
3167,0,1
2130,0,1
1992,0,1
11465,0,1
9276,0,1
6441,0,1
4615,0,1
5777,0,1
4409,0,1
4781,0,1
2905,0,1
916,0,1
-87,0,1
1462,0,1
1873,0,1
3311,0,1
1436,0,1
1171,0,1
3147,0,1
6915,0,1
8670,0,1
12431,0,1
6074,0,1
8634,0,1
8358,0,1
5168,0,1
6012,0,1
5535,0,1
4808,0,1
3872,0,1
